,Company Information,,,,,,,Services,,,Quality,,,,Facility,,,,,,,,,,,,,Users,,,,,,,,Upload feature - Documents,
275,MARSHALL TECHNOCAST PVT. LTD,Rajkot,,,,,,"Valves & Pumps, Food Processing, Material Handing, Defence, Automotive, General Engineering",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,METFLOW CAST PVT. LTD,Rajkot,,,,,,"Valves & Pumps, Chemical Processing, Food Processing, Refinery, Mining, Oil Exploration, Marine, Power Generation, Earth Moving, General Engineering","Sand Casting, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,PAVAN INDUSTRIES,"Rajkot, Pune",,,,,,"Valves & Pumps, Automotive, Locomotive, Textile, Fire & Safety, Defense, Aerospace, Marine, Construction & Mining, Agricultural Equipment, Earth Moving","Sand Casting, Investment Casting, Injection Molding, Die Casting, Gravity Die Casting, Shell Moulding, Open Die Forging, Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,POOJA CASTINGS PVT. LTD.,Pune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Ratnamani Technocast Pvt Ltd,Gandhinagar,,,,,,"Valves & Pumps, Steam Application, Automotive, Defense, Aerospace, Chemical Industries, Food Processing, General Engineering, Valves & Pumps, Steam Application, Automotive, Defense, Aerospace, Chemical Industries, Food Processing, General Engineering","Investment Casting, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Shakuntala Steels,Kolhapur,,,,,,"OEM, Oil & Gas, Power Transmission, Transportation, General Engineering, OEM, Oil & Gas, Power Transmission, Transportation, General Engineering","Sand Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Spin - N - Cast,Pune,,,,,,"Forging, Defense, Marine, Nuclear, Steel, Mining, Transmission, Hydro, Forging, Defense, Marine, Nuclear, Steel, Mining, Transmission, Hydro",Centrifugal Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Stable Industries Pvt Ltd,Pimpri-Chinchwad,,,,,,"Automotive, Agricultural Equipment, Construction, Power Transmission, General Engineering, Automotive, Agricultural Equipment, Construction, Power Transmission, General Engineering","Closed Die Forging, Open Die Forging, Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,SUJATA FORGE (P) LIMITED,Ranga Reddy,,,,,,"Defence, Mining, Aerospace, Railways, General Engineering, Defence, Mining, Aerospace, Railways, General Engineering","Closed Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,WESTERN INDIA FORGINGS GROUP,Pune,,,,,,"Mining & Drilling, Oil & Gas, Gears & Transmission, Construction, Earth Moving, Railways & Metro, Power Hydro, Automotive, Power & Energy, Pharmaceutical, General Engineering, Material Handing","Closed Die Forging, Open Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,CHW Forge,Ghaziabad,,,,,,"Defense, Aerospace, Oil & Petrochemical, Material Handing, Earth Moving, Bearing, Fabrication, Wind Engergy, Power & Energy, Valves, Pressure Vessels, Heat Exchanger, EPC Contractors",Ring Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,VULKAN TECHNOLOGIES PVT. LTD. INDIA,Pirangut,,,,,,"Oil & Gas, Mining, Bulk Material Handling, Iron & Steel, Renewable Energy, General Engineering, Oil & Gas, Mining, Bulk Material Handling, Iron & Steel, Renewable Energy, General Engineering","Sand Casting, Gravity Die Casting, Centrifugal Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Steel And Industrial Forgings Limited (SIFL),Minalur,,,,,,"Defence, Aerospace, Oil & Gas, Heavy Fabrication Industries, Earth Moving, Railways, Automobile, Defence, Aerospace, Oil & Gas, Heavy Fabrication Industries, Earth Moving, Railways, Automobile",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Norma (India) Limited,Ghaziabad,,,,,,"Defence, Railways, Heavy Fabrication Industries, Oil drill Bits, Diesel Locomotives, Defence, Railways, Heavy Fabrication Industries, Oil drill Bits, Diesel Locomotives",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Vijayalakshmi forgings,Coimbatore,,,,,,"Automotive, Railways, General Engineering, Valve, RIG, Agriculture, Automotive, Railways, General Engineering, Valve, RIG, Agriculture",Hot Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Scorpio Precisions,Kanchipuram,,,,,,"Oil & Gas, Petrochemical, Paper and Pulp Industries, Power Plant, Pharmaceutical, Refineries, Aerospace, Marine, Cement , Valves & Pumps, Chemical Industries, Oil & Gas, Petrochemical, Paper and Pulp Industries, Power Plant, Pharmaceutical, Refineries, Aerospace, Marine, Cement , Valves & Pumps, Chemical Industries","Ring Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Dynamic Group of Companies,Palghar,,,,,,"Oil Field, Oil Field",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Elegant Forge & Equipments Pvt Ltd,Thane,,,,,,"Oil & Gas, Railways, Oil & Gas, Railways","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,R.R. FORGINGS PRIVATE LIMITED,Bangalore Urban,,,,,,"Gasket Industries, Valve Industries, Turbine Manufacturing Industries, Oil & Gas, Power Transmission, Earth Moving, Bearing, Pumps Manufacturing Industries, Gasket Industries, Valve Industries, Turbine Manufacturing Industries, Oil & Gas, Power Transmission, Earth Moving, Bearing, Pumps Manufacturing Industries","Ring Forging, Open Die Forging, Ring Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,KAY JAY FORGINGS PVT. LTD,Ludhiana,,,,,,"Automotive, Automotive","Hot Forging, Hot Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,A. V. STEEL FORGINGS PVT. LTD,Vadodara,,,,,,"Oil & Gas, Railways, Mining, Material Handing, Heavy Fabrication Industries, Oil & Gas, Railways, Mining, Material Handing, Heavy Fabrication Industries",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,ACE FORGE PVT LTD,Bangalore Urban,,,,,,"Automotive, Aerospace, Locomotive, Oil & Gas",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,BSP METATECH LLP,Pune,,,,,,"Automotive, Earth Moving, Defense, Railways, Railways & Metro, Electrical","Sheet Metal Stamping, Laser Cutting, Sheet Metal Bending, Welding",,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,Eternal Alloy Cast Pvt. Ltd.,Rajkot,,,,,,"Oil & Gas, Valves & Pumps, Railways & Metro, Automobile & Locomotive, Pharmaceutical, Marine, Medical & Surgical, Defense, Aerospace, Food & Beverages, Agricultural, Hardware &Tools, General Engineering, Cement &Steel Plant, Power PLant, Earth Moving, Mining Industries",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Gnat Foundry Pvt. Ltd,Kolhapur,,,,,,"Railways, Automobile, General Engineering, Railways, Automobile, General Engineering","Sand Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Om Forge,Ahmednagar,,,,,,"Automobile, Electrical, Oil Industries, Heavy Fabrication Industries",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Paramount Brass Industries,Jamnagar,,,,,,"Electrical & Electronics, Home Appliances, Medical Equipments, Plastic & Rubber Molding, Gas, Automobile, Aerospace, Hydraulic Hose & Pneumatics, Agricultural Equipment, Water valve & Piping, Sanitary & Plumbing, Electrical & Electronics, Home Appliances, Medical Equipments, Plastic & Rubber Molding, Gas, Automobile, Aerospace, Hydraulic Hose & Pneumatics, Agricultural Equipment, Water valve & Piping, Sanitary & Plumbing",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,RAJENDRA ENGINEERING,Coimbatore,,,,,,"Automotive, Transmission, Valves, Automotive, Transmission, Valves","CNC Machining, CNC Machining",,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Raviraj Metals,Kolhapur,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,RUKMANI ENGINEERING WORKS,Coimbatore,,,,,,"Valves & Pumps, Construction, Construction Equipment",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,SBS International Pvt. Ltd.,Gurgaon,,,,,,"Automotive, Electrical & Electronics, Home Appliances",Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Shakti Engineering,Belagavi,,,,,,"Valves & Pumps, Automotive, Oil & Gas",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Adroit Industries(India)Ltd,Indore,,,,,,"Automotive, Defense, Irrigation, Marine, Mining, Metal Processing, Waste Water Management, Railway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Adroit TechMech Solution,Ahmedabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,AllTech Metal Cast,Rajkot,,,,,,"Automobile Sector , Agricultural Equipment, Power , Defence, Electrical, Railways, Aerospace, Fire & Safety, General Engineering, Earth Moving, Infrastructure","Sand Casting, Shell Moulding",,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,BHUMI TECHNOCAST PVT LTD,Rajkot,,,,,,"Valves & Pumps, Automotive, Defence, Marine, Aerospace, Agriculture Machinery Parts, Nuclear, Railways, Scaffolding, Mining, Hardware Fitting, Human Implants, Pharmaceutical, General Engineering",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Crescent Foundry,Kolkata,,,,,,"Muncipal, Ring, Heavy CWT, Light CWT, Agriculture Access, Gratings, Railways, Automotive, Industrial, Valves & Pumps, Aerospace",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,CUB EXPORTS INTERNATIONAL,Ludhiana,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Hindustan Brass Industries,Jamnagar,,,,,,"Electrical & Electronics, Fluid Power, Instrumentation, Lawn & Garden, Machinery, Molded Inserts, Motion & Control System, Valves & Pumps, Semi-Conductor",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,KIRIT INDUSTRIES,Ahmedabad,,,,,,"Oil & Gas, Refineries, Mining, Chemical Industries, Paper and Pulp Industries, Agriculture, Construction Equipment, Textile, Sugar, Chemical",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Pragati technologies,Ahmedabad,,,,,,"Electronic, Medical, Aerospace, Automobile, Pharmaceutical",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Rajeshwary Technocast Pvt. Ltd.,Rajkot,,,,,,,Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,Research Development & Manufacturing Corporation,Bangalore Urban,,,,,,"Locomotive, Earth Moving, Off-Highway Equipment, Industrial Gear Boxes, Mining, Stone crushers, Marine, Winches, Cranes, Defence, Windmill, Aerospace, Textile & Printing Machines",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,SAN Precision Alloys Private Limited,Coimbatore,,,,,,"Automotive, Valves & Pumps, Earth Moving, Power , Wind Engergy, Aerospace, Defense, General Engineering",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,SHARP CHUCKS AND MACHINES PRIVATE LIMITED,Jalandhar,,,,,,"Automotive, Earth Moving, Railways, Defense",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,SUNTECH INDUSTRIES,Rajkot,,,,,,Valves & Pumps,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Trident Steels,Belagavi,,,,,,"Valves & Pumps, Biomedical Implants, Prosthetics, General Engineering",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,VANSA DIE CASTINGS PVT LTD,"Bangalore Urban, Bangalore Urban",,,,,,"Automotive, Hydraulic Pumps, Electronic / Electric, Domestic Appliances",Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,FINETURN,Faridabad,,,,,,"Automotive & Tractor, Defense, AC, Camera Industry","Die Casting, Cold Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,INVENT CAST PVT LTD,Rajkot,,,,,,"Valves & Pumps, Automotive","Investment Casting, Investment Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Aakar Foundry Private Limited,Pune,,,,,,"Automotive, Non Automotive","Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Alka Forgings,Ghaziabad,,,,,,"Defence, Aerospace, Nuclear, Oil & Gas, Gear Manufacturing, Pressure Vessels, Power Generation, Valves & Pumps, Material Handing, Earth Moving","Open Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Adma Auto Components Pvt Ltd,Mysuru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Alphacraft,Coimbatore,,,,,,"Automotive, Electronics, Telecommunication, Farm Equipment","Die Casting, Gravity Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Balu Forge,"Belagavi, Mumbai Suburban",,,,,,"Railways, Defence, Oil & Gas, Agriculture, E-mobility, Gensets, Automotive, Refrigeration, Pumps",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Dhanada Engineering,Kolhapur,,,,,,"Valves & Pumps, Automotive",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,Fivebros Forging Pvt. Ltd.,"Mumbai Suburban, Bharuch",,,,,,"Oil & Gas, Chemical & Petrochemical, Power & Energy, Fertilizers, Heavy Fabrication Industries, Instrumentation, Dairy & Food, Marine","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Impressions Auto Components,Pune,,,,,,"Automotive, Petroleum, Electrical","Die Casting, Gravity Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,JAYSON INDUSTRIES,Kolhapur,,,,,,"Pumps, Road Rollers, Screening Machine, Paver Parts",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Karthick Flow Controls,Coimbatore,,,,,,Valves & Pumps,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,LAKSHMI VALVES PRIVATE LIMITED,Coimbatore,,,,,,"Automotive, Valves, General Engineering",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Metaforge Engineering (I) Pvt. Ltd.,Nashik,,,,,,"Automobile, Electrical & Electronics, Luggage, Domestic Appliance",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,M M Forgings,Chennai,,,,,,"Automotive, Agricultural Equipment, Off Raoders, High Pressure Valves","Ring Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,MODERN GROUP,Sirohi,,,,,,"Railways, OEM, EPC companies",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Moraya Die Caster,Pune,,,,,,"Automotive, OEM",Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Mutha Group,Satara,,,,,,"Automotive, Transmission, Compressor Applications, Hydraulics, Pumps","Centrifugal Casting, Shell Moulding, Sand Casting, Gravity Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Nikoo Forge Pvt Ltd,Rajkot,,,,,,"Automobile, Farm Equipment, Oil & Gas, Earth Moving, General Engineering",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Paramount Forge,Mumbai,,,,,,"Oil & Gas, Nuclear, Petrochemical, Heavy Fabrication Industries, Pressure Vessels, Heat Exchanger, Thermal Power, Wind Engergy","Ring Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Parmar Techno Forge,Pune,,,,,,"Oil & Gas, Chemicals, Petrochemicals, Fertilizers, Ship Building",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Pooja Technocast,Rajkot,,,,,,"Automotive, Earth Moving, Agricultural Diesel Engine, Textile Machinery, Valves & Pumps",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Pyrocast India Pvt Ltd,Sonepat,,,,,,"Electrical, Power & Energy, Defence, Railways, Auto components, General Engineering, Hardware, High Pressure Valves","Closed Die Forging, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,Ramkrishna Forgings Limited,Kolkata,,,,,,"Automotive, Farm Equipment, Railways, Oil Exploration, Earth Moving & Mining, General Engineering",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Sai Forge Private Limited,Tiruvallur,,,,,,,"Forging, Cold Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,BF Industrial Technology & Solutions Limited,Vadodara,,,,,,,"Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Somesh Forge Pvt. Ltd,Nashik,,,,,,"Automobile, Electrical, Oil Industries, Heavy Fabrication Industries",Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Sri Balaji Alloys,Coimbatore,,,,,,"Valves & Pumps, Transmission, Energy, Marine, Thermal Power, Earth Moving, Heavy Industrial Application, Bulk Material Handling, Valves & Pumps, Transmission, Energy, Marine, Thermal Power, Earth Moving, Heavy Industrial Application, Bulk Material Handling","CNC Machining, CNC Machining",,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Unique Forgings (India) Pvt. Ltd.,Anand,,,,,,"Automotive, Railways, Oil & Gas, Material Handing, Hydraulic, Power Transmission, Heat Exchanger, Automotive, Railways, Oil & Gas, Material Handing, Hydraulic, Power Transmission, Heat Exchanger, Automotive, Railways, Oil & Gas, Material Handing, Hydraulic, Power Transmission, Heat Exchanger","Open Die Forging, Closed Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Vishnu Forge Industries Limited,Bangalore Urban,,,,,,"Valves & Pumps, Earth Moving, Construction Equipment, Wind Mill, Railways, Oil & Gas, Material Handing, Sugar, Cement","Open Die Forging, Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Anandmayee Forgings Pvt. ltd.,Ghaziabad,,,,,,"Oil & Gas, Nuclear, Railways, Automotive, Valves & Pumps","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,Castlegate,Coimbatore,,,,,,"Valves & Pumps, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,CKB Group,Tiruvallur,,,,,,"Power plants, Earthmoving, Defense, Oil & Gas, Chemical, Pharmaceutical, Mining, Metal, General Engineering, Aerospace, Railways, Earth Moving","CNC Machining, Sheet Metal Fabrication",,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,Flow Tech Dies Pvt Ltd,Pune,,,,,,Automobile,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,GM Industries,Bangalore Urban,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Hariom Metal Cast,Ahmedabad,,,,,,"Medical Implants, Valves & Pumps, Defense, Power Plant Equipment, Boiler Plant Equipment, Aerospace, Marine, Automobile, Hardware, Textile","Investment Casting, Sand Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,Hindustan Forging & Engineering Works,Thane,,,,,,"Power & Energy, Oil & Gas, Iron & steel, Defence, Material Handling, Heavy Engineering, Cement Industries, Wind Mill Plants",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,Investment & Precision Castings Ltd,Bhavnagar,,,,,,"Automobile, Power Generation, Valves & Pumps, Turbocharge, Defense, Aerospace, Power Generation Industries, Medical Implants",Investment Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,Kisaan Die Tech,Ghaziabad,,,,,,"Textile, Paper and Pulp Industries, Mining, Aerospace, Power Generation Industries","Open Die Forging, Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,Munish Forge Private Limited,Ludhiana,,,,,,"Scaffolding, Fabrication, Automobile, Construction, Railways, Defence, Oil & Gas, Agriculture","Closed Die Forging, Cold Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,Pinecal Techno Cast,Rajkot,,,,,,"Automotive, Agricultural Equipment, Electrical, Kitchenware, Automobile, Ceramic, Kitchenwares, Valves",Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,Rajneesh Cast Alloys,Ludhiana,,,,,,"Automotive, Agricultural Equipment, Construction, Scaffolding, Valves & Pumps",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,SRK Industries,Coimbatore,,,,,,"Valves & Pumps, Oil & Gas, Refining & Petrochemicals, Power & Wind Energy, Defense & Aerospace, Mining & Earth Moving, Sugar & Cement Plants, Automotive, Defense, General Engineering",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,Sangeetha Castings Private Limited,Coimbatore,,,,,,"Aerospace, Valves & Pumps, General Engineering, Robotics",Sand Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,Solo Components Pvt Ltd,Gurgaon,,,,,,"Automotive, Off Raoders","Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,S.V. ENTERPRISES,Pune,,,,,,"Automotive, Valves & Pumps",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,V N TOOLINGS LLP,Pune,,,,,,,"Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,S.K.TECHNOLOGYS,Coimbatore,,,,,,Valves & Pumps,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,NESF Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,Parvaa Industries,Bangalore Urban,,,,,,"Electrical & Electronics, Power Transmission, General Engineering, Earth Moving, Pressure Vessels, Medical Equipment",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,Accutech Laser PVT,Bangalore Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Bright Castings,Coimbatore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,SUNIL FORGING & STEEL INDUSTRIES,Raigad,,,,,,"Power & Energy, Mining, Construction, Steel, Oil & Gas, Sugar, Ship Building",Open Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,SAAB ENGINEERING,Bangalore Urban,,,,,,"Automotive, General Engineering, Fasteners, Electrical & Electronics, Heat Exchanger",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,FITWEL TOOLS & FORGINGS PVT. LTD.,Tumkur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,METFORM ENGINEERS,Bangalore Urban,,,,,,"Automotive, Electrical, Aerospace",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,LGB Forge,Mysuru,,,,,,"Valves, Automotive, Hydraulics, Refrigeration","Cold Forging, Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,Forge Pro India Pvt Ltd,Bangalore Rural,,,,,,"Energy, Conveyors",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,Siderforgerossi India,Mysuru,,,,,,"Automotive, Nuclear Power, Earth Moving, Mining, Defence",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,Jay Jagadamba Limited,Raigad,,,,,,"Wind Mill, Power Transmission, Automotive, Lifts & Conveyers, Oil & Gas, Power & Energy, Petrochemical, Pharmaceutical","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,Excel Forge Tech,Bangalore Urban,,,,,,"Chemical Industries, Petrochemical, Oil Refineries, Fertilizer Industries, Dairy Engineering, Automobile, Sugar , Cement , Paper and Pulp Industries, Water Treatment Plant","Open Die Forging, Closed Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Sakde Auto Technologies,Villupuram,,,,,,Automotive,"Gravity Die Casting, Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,Hindon Forge Pvt Ltd.,Ghaziabad,,,,,,"Agriculture, Automotive, Construction Equipment, Machine Tool, Construction & Mining, Petrochemical","Open Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,TAYO ROLLS LTD,East Singhbhum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,Empire Auto Pvt Ltd,Seraikela Kharsawan,,,,,,"Automotive, Railways, Steel, Power & Energy, Electrical, Oil & Gas","Closed Die Forging, Open Die Forging, Hot Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,SARKUNA TECH EFFICIENCY,Coimbatore,,,,,,"Automotive, Valves & Pumps",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,Sankalp Engineering & Services Pvt.Ltd,Pune,,,,,,"Oil & Gas, Mining & Drilling, Valves, General Engineering","Closed Die Forging, Open Die Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,OCS ENGINEERING & CONSTRUCTION (INDIA) PVT LTD,Tamil Nadu,,,,,,"Oil & Gas, Marine/Offshore, Petrochemicals, Power & Energy, Hydraulic Valve, Pump, Acromatic, Beverage",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,Alpine Technology,Coimbatore,,,,,,"Light and Heavy Fabrication, Autoclaves, Pressure Vessels, General Engineering, Material Handing, Turnkey Projects, Industrial Automation",Sheet Metal Fabrication,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,HIM TEKNOFORGE LTD,Chandigarh,,,,,,"OEMS, Railways, Automobile, General Engineering","Closed Die Forging, Open Die Forging, Ring Forging",,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,Sakthi Forgings Unit 1 - MACHINE SHOP,Coimbatore,,,,,,"Valves & Pumps, Electrical, Automotive, Defense, Railways",CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,Sakthi Forgings Unit 2 - FORGE SHOP,Coimbatore,,,,,,"Valves & Pumps, Electrical, Automotive, Defense, Railways",Closed Die Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,Altech Alloys India Pvt.Ltd.,Kagal,,,,,,"Valves & Pumps, Railways, Power Transmission, Automotive, Electrical","Sand Casting, Gravity Die Casting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,ERBATECH Machinery Pvt. Ltd.,"Coimbatore, Darmstadt",,,,,,"Textile, Power , Solar","CNC Machining, Laser Cutting",,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Forge Tech,Krishnagiri,,,,,,"Fasteners, Tools",Cold Forging,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,Canny Controls,Coimbatore,,,,,,"Textiles, Automobiles, Electricals, General Engineering, Valves & Pumps, Textiles, Automobiles, Electricals, General Engineering","Sheet Metal Fabrication, Sheet Metal Fabrication",,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,EFILTEK PRIVATE LIMITED,Coimbatore,,,,,,"Automobile, Aerospace, Power & Energy, Machinery & Equipments, Defense, General Engineering",Gravity Die Casting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,GR Technocraft,Coimbatore,,,,,,,CNC Machining,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,Jash Precision Tools Private Limited,Indore,,,,,,,"CNC Machining, Sheet Metal Fabrication",,,,,,,,,,,,,,,,,,,,,,,,,,,,
